Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount,Timestamp,Year,Month,Day,DayOfWeek,IsWeekend,Quarter,food_per_guest_ratio
Fruits,350,Corporate,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20,2024-01-08 20:04:53.877551104,2024,1,8,0,0,1,1.2857142857142858
Meat,220,Corporate,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15,2024-01-09 01:57:33.061224448,2024,1,9,1,0,1,1.3636363636363635
Fruits,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,2024-01-09 07:50:12.244898048,2024,1,9,1,0,1,1.3636363636363635
Vegetables,280,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,20,2024-01-09 13:42:51.428571392,2024,1,9,1,0,1,1.25
Meat,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,2024-01-09 19:35:30.612244992,2024,1,9,1,0,1,1.3636363636363635
Fruits,400,Birthday,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50,2024-01-10 07:20:48.979591936,2024,1,10,2,0,1,1.25
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,2024-01-10 13:13:28.163265280,2024,1,10,2,0,1,1.4
Meat,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,2024-01-10 19:06:07.346938880,2024,1,10,2,0,1,1.3333333333333333
Baked Goods,300,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20,2024-01-11 12:44:04.897959168,2024,1,11,3,0,1,1.3333333333333333
Fruits,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20,2024-01-11 18:36:44.081632768,2024,1,11,3,0,1,1.25
Fruits,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,2024-01-12 00:29:23.265306112,2024,1,12,4,0,1,1.2857142857142858
Meat,400,Social Gathering,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Moderate,30,2024-01-12 06:22:02.448979712,2024,1,12,4,0,1,1.125
Fruits,434,Birthday,495,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,36,2024-01-12 12:14:41.632653056,2024,1,12,4,0,1,1.140552995391705
Fruits,300,Corporate,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,15,2024-01-12 18:07:20.816326656,2024,1,12,4,0,1,1.3333333333333333
Fruits,290,Social Gathering,374,Room Temperature,Regular,Winter,Finger Food,Urban,Low,27,2024-01-13 00:00:00.000000000,2024,1,13,5,1,1,1.289655172413793
Dairy Products,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,2024-01-13 05:52:39.183673344,2024,1,13,5,1,1,1.3333333333333333
Meat,320,Social Gathering,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40,2024-01-13 11:45:18.367346944,2024,1,13,5,1,1,1.25
Baked Goods,320,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,20,2024-01-13 17:37:57.551020288,2024,1,13,5,1,1,1.25
Meat,400,Social Gathering,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45,2024-01-13 23:30:36.734693888,2024,1,13,5,1,1,1.25
Vegetables,280,Birthday,350,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,20,2024-01-14 05:23:15.918367232,2024,1,14,6,1,1,1.25
Baked Goods,380,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35,2024-01-14 11:15:55.102040832,2024,1,14,6,1,1,1.3157894736842106
Meat,380,Birthday,480,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30,2024-01-14 17:08:34.285714176,2024,1,14,6,1,1,1.263157894736842
Meat,400,Wedding,500,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50,2024-01-14 23:01:13.469387776,2024,1,14,6,1,1,1.25
Meat,320,Birthday,400,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,30,2024-01-15 04:53:52.653061120,2024,1,15,0,0,1,1.25
Vegetables,280,Wedding,350,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15,2024-01-15 10:46:31.836734720,2024,1,15,0,0,1,1.25
Vegetables,320,Birthday,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40,2024-01-15 16:39:11.020408064,2024,1,15,0,0,1,1.25
Fruits,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10,2024-01-15 22:31:50.204081664,2024,1,15,0,0,1,1.4
Vegetables,350,Corporate,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35,2024-01-16 04:24:29.387755008,2024,1,16,1,0,1,1.2857142857142858
Meat,250,Wedding,350,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,40,2024-01-16 10:17:08.571428608,2024,1,16,1,0,1,1.4
Vegetables,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Urban,Moderate,20,2024-01-16 16:09:47.755101952,2024,1,16,1,0,1,1.25
Baked Goods,450,Birthday,500,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,30,2024-01-16 22:02:26.938775552,2024,1,16,1,0,1,1.1111111111111112
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,10,2024-01-17 03:55:06.122448896,2024,1,17,2,0,1,1.4
Baked Goods,320,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,2024-01-17 15:40:24.489795840,2024,1,17,2,0,1,1.25
Baked Goods,442,Wedding,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,32,2024-01-17 21:33:03.673469440,2024,1,17,2,0,1,1.090497737556561
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Suburban,High,35,2024-01-18 03:25:42.857142784,2024,1,18,3,0,1,1.4
Vegetables,310,Social Gathering,350,Refrigerated,Regular,Winter,Finger Food,Rural,High,35,2024-01-18 09:18:22.040816384,2024,1,18,3,0,1,1.1290322580645162
Fruits,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,2024-01-18 15:11:01.224489728,2024,1,18,3,0,1,1.25
Dairy Products,350,Corporate,450,Room Temperature,Regular,Summer,Finger Food,Urban,High,30,2024-01-18 21:03:40.408163328,2024,1,18,3,0,1,1.2857142857142858
Meat,400,Social Gathering,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50,2024-01-19 02:56:19.591836672,2024,1,19,4,0,1,1.25
Fruits,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35,2024-01-19 08:48:58.775510272,2024,1,19,4,0,1,1.25
Vegetables,350,Wedding,450,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,35,2024-01-19 14:41:37.959183616,2024,1,19,4,0,1,1.2857142857142858
Meat,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20,2024-01-19 20:34:17.142857216,2024,1,19,4,0,1,1.25
Meat,350,Social Gathering,450,Refrigerated,Occasional,All Seasons,Finger Food,Rural,High,40,2024-01-20 02:26:56.326530560,2024,1,20,5,1,1,1.2857142857142858
Baked Goods,302,Social Gathering,371,Room Temperature,Regular,Summer,Buffet,Suburban,Low,27,2024-01-20 08:19:35.510204160,2024,1,20,5,1,1,1.228476821192053
Fruits,438,Corporate,493,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,35,2024-01-20 14:12:14.693877504,2024,1,20,5,1,1,1.1255707762557077
Baked Goods,310,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,35,2024-01-20 20:04:53.877551104,2024,1,20,5,1,1,1.1290322580645162
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,40,2024-01-21 01:57:33.061224448,2024,1,21,6,1,1,1.25
Fruits,300,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,2024-01-21 07:50:12.244898048,2024,1,21,6,1,1,1.3333333333333333
Baked Goods,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,2024-01-21 13:42:51.428571392,2024,1,21,6,1,1,1.25
Dairy Products,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25,2024-01-21 19:35:30.612244992,2024,1,21,6,1,1,1.25
Vegetables,250,Corporate,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,20,2024-01-22 01:28:09.795918336,2024,1,22,0,0,1,1.4
Fruits,350,Corporate,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,2024-01-22 07:20:48.979591936,2024,1,22,0,0,1,1.2857142857142858
Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,2024-01-22 13:13:28.163265280,2024,1,22,0,0,1,1.3333333333333333
Fruits,350,Corporate,450,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Rural,Moderate,25,2024-01-22 19:06:07.346938880,2024,1,22,0,0,1,1.2857142857142858
Baked Goods,380,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,2024-01-23 00:58:46.530612224,2024,1,23,1,0,1,1.3157894736842106
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Suburban,High,30,2024-01-23 12:44:04.897959168,2024,1,23,1,0,1,1.3333333333333333
Fruits,250,Wedding,350,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,20,2024-01-23 18:36:44.081632768,2024,1,23,1,0,1,1.4
Fruits,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,2024-01-24 00:29:23.265306112,2024,1,24,2,0,1,1.25
Baked Goods,300,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,2024-01-24 06:22:02.448979712,2024,1,24,2,0,1,1.3333333333333333
Meat,300,Social Gathering,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,2024-01-24 12:14:41.632653056,2024,1,24,2,0,1,1.3333333333333333
Fruits,350,Social Gathering,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45,2024-01-24 18:07:20.816326656,2024,1,24,2,0,1,1.2857142857142858
Dairy Products,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20,2024-01-25 00:00:00.000000000,2024,1,25,3,0,1,1.25
Fruits,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,2024-01-25 05:52:39.183673344,2024,1,25,3,0,1,1.3157894736842106
Baked Goods,397,Wedding,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,31,2024-01-25 17:37:57.551020288,2024,1,25,3,0,1,1.2141057934508817
Baked Goods,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,2024-01-25 23:30:36.734693888,2024,1,25,3,0,1,1.25
Dairy Products,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,25,2024-01-26 05:23:15.918367232,2024,1,26,4,0,1,1.25
Vegetables,400,Social Gathering,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,30,2024-01-26 11:15:55.102040832,2024,1,26,4,0,1,1.25
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,2024-01-26 17:08:34.285714176,2024,1,26,4,0,1,1.3636363636363635
Dairy Products,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,2024-01-26 23:01:13.469387776,2024,1,26,4,0,1,1.2857142857142858
Baked Goods,350,Corporate,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,2024-01-27 04:53:52.653061120,2024,1,27,5,1,1,1.2857142857142858
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,2024-01-27 10:46:31.836734720,2024,1,27,5,1,1,1.3333333333333333
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,2024-01-27 16:39:11.020408064,2024,1,27,5,1,1,1.2857142857142858
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,20,2024-01-27 22:31:50.204081664,2024,1,27,5,1,1,1.4
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,2024-01-28 04:24:29.387755008,2024,1,28,6,1,1,1.4
Vegetables,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,2024-01-28 10:17:08.571428608,2024,1,28,6,1,1,1.25
Vegetables,290,Social Gathering,374,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,27,2024-01-28 16:09:47.755101952,2024,1,28,6,1,1,1.289655172413793
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25,2024-01-28 22:02:26.938775552,2024,1,28,6,1,1,1.25
Vegetables,350,Corporate,450,Refrigerated,Regular,Summer,Buffet,Urban,High,40,2024-01-29 03:55:06.122448896,2024,1,29,0,0,1,1.2857142857142858
Fruits,290,Birthday,374,Refrigerated,Occasional,Winter,Finger Food,Rural,Low,27,2024-01-29 15:40:24.489795840,2024,1,29,0,0,1,1.289655172413793
Fruits,300,Wedding,450,Room Temperature,Regular,Summer,Finger Food,Urban,High,35,2024-01-29 21:33:03.673469440,2024,1,29,0,0,1,1.5
Meat,400,Wedding,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50,2024-01-30 03:25:42.857142784,2024,1,30,1,0,1,1.25
Fruits,250,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Rural,High,30,2024-01-30 09:18:22.040816384,2024,1,30,1,0,1,1.4
Vegetables,310,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Rural,High,35,2024-01-30 15:11:01.224489728,2024,1,30,1,0,1,1.1290322580645162
Meat,290,Social Gathering,374,Refrigerated,Regular,Summer,Finger Food,Rural,Low,27,2024-01-30 21:03:40.408163328,2024,1,30,1,0,1,1.289655172413793
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,2024-01-31 02:56:19.591836672,2024,1,31,2,0,1,1.4
Baked Goods,220,Wedding,300,Room Temperature,Regular,Summer,Buffet,Suburban,Low,10,2024-01-31 08:48:58.775510272,2024,1,31,2,0,1,1.3636363636363635
Meat,400,Birthday,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45,2024-01-31 14:41:37.959183616,2024,1,31,2,0,1,1.25
Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,10,2024-01-31 20:34:17.142857216,2024,1,31,2,0,1,1.4
Vegetables,350,Corporate,450,Refrigerated,Regular,Summer,Finger Food,Urban,High,30,2024-02-01 02:26:56.326530560,2024,2,1,3,0,1,1.2857142857142858
Meat,300,Birthday,400,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20,2024-02-01 08:19:35.510204160,2024,2,1,3,0,1,1.3333333333333333
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,20,2024-02-01 14:12:14.693877504,2024,2,1,3,0,1,1.4
Meat,261,Wedding,350,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,23,2024-02-01 20:04:53.877551104,2024,2,1,3,0,1,1.3409961685823755
Meat,400,Wedding,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,30,2024-02-02 01:57:33.061224448,2024,2,2,4,0,1,1.25
Vegetables,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,2024-02-02 07:50:12.244898048,2024,2,2,4,0,1,1.2857142857142858
Fruits,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30,2024-02-02 13:42:51.428571392,2024,2,2,4,0,1,1.25
Fruits,300,Wedding,400,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Moderate,15,2024-02-02 19:35:30.612244992,2024,2,2,4,0,1,1.3333333333333333
Vegetables,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15,2024-02-03 01:28:09.795918336,2024,2,3,5,1,1,1.25
Meat,220,Wedding,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,23,2024-02-03 07:20:48.979591936,2024,2,3,5,1,1,1.3636363636363635
Vegetables,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,15,2024-02-03 13:13:28.163265280,2024,2,3,5,1,1,1.3333333333333333
Meat,250,Wedding,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,2024-02-03 19:06:07.346938880,2024,2,3,5,1,1,1.4
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,2024-02-04 00:58:46.530612224,2024,2,4,6,1,1,1.25
Dairy Products,320,Corporate,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,2024-02-04 12:44:04.897959168,2024,2,4,6,1,1,1.25
Baked Goods,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30,2024-02-04 18:36:44.081632768,2024,2,4,6,1,1,1.2857142857142858
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,2024-02-05 06:22:02.448979712,2024,2,5,0,0,1,1.2857142857142858
Dairy Products,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,2024-02-05 12:14:41.632653056,2024,2,5,0,0,1,1.3157894736842106
Dairy Products,342,Social Gathering,405,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,29,2024-02-05 18:07:20.816326656,2024,2,5,0,0,1,1.1842105263157894
Fruits,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40,2024-02-06 00:00:00.000000000,2024,2,6,1,0,1,1.25
Vegetables,275,Wedding,388,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,16,2024-02-06 05:52:39.183673344,2024,2,6,1,0,1,1.410909090909091
Vegetables,220,Social Gathering,300,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15,2024-02-06 11:45:18.367346944,2024,2,6,1,0,1,1.3636363636363635
Baked Goods,280,Wedding,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,25,2024-02-06 17:37:57.551020288,2024,2,6,1,0,1,1.4285714285714286
Vegetables,400,Corporate,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,High,40,2024-02-06 23:30:36.734693888,2024,2,6,1,0,1,1.25
Baked Goods,220,Wedding,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,2024-02-07 05:23:15.918367232,2024,2,7,2,0,1,1.3636363636363635
Baked Goods,400,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,2024-02-07 11:15:55.102040832,2024,2,7,2,0,1,1.25
Dairy Products,400,Wedding,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,25,2024-02-07 17:08:34.285714176,2024,2,7,2,0,1,1.25
Meat,350,Social Gathering,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35,2024-02-07 23:01:13.469387776,2024,2,7,2,0,1,1.2857142857142858
Dairy Products,300,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,High,35,2024-02-08 04:53:52.653061120,2024,2,8,3,0,1,1.5
Fruits,300,Corporate,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35,2024-02-08 10:46:31.836734720,2024,2,8,3,0,1,1.5
Fruits,397,Wedding,482,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,31,2024-02-08 22:31:50.204081664,2024,2,8,3,0,1,1.2141057934508817
Vegetables,220,Corporate,300,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15,2024-02-09 10:17:08.571428608,2024,2,9,4,0,1,1.3636363636363635
Fruits,220,Birthday,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,2024-02-09 16:09:47.755101952,2024,2,9,4,0,1,1.3636363636363635
Dairy Products,300,Corporate,420,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20,2024-02-09 22:02:26.938775552,2024,2,9,4,0,1,1.4
Baked Goods,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50,2024-02-10 03:55:06.122448896,2024,2,10,5,1,1,1.25
Baked Goods,280,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,2024-02-10 09:47:45.306122496,2024,2,10,5,1,1,1.25
Baked Goods,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35,2024-02-10 15:40:24.489795840,2024,2,10,5,1,1,1.2857142857142858
Baked Goods,350,Corporate,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,2024-02-10 21:33:03.673469440,2024,2,10,5,1,1,1.2857142857142858
Meat,350,Social Gathering,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,2024-02-11 09:18:22.040816384,2024,2,11,6,1,1,1.2857142857142858
Fruits,250,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,2024-02-11 15:11:01.224489728,2024,2,11,6,1,1,1.4
Baked Goods,350,Corporate,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,2024-02-11 21:03:40.408163328,2024,2,11,6,1,1,1.2857142857142858
Dairy Products,290,Social Gathering,374,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27,2024-02-12 02:56:19.591836672,2024,2,12,0,0,1,1.289655172413793
Dairy Products,280,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,2024-02-12 14:41:37.959183616,2024,2,12,0,0,1,1.25
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25,2024-02-12 20:34:17.142857216,2024,2,12,0,0,1,1.25
Meat,400,Wedding,500,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,High,45,2024-02-13 02:26:56.326530560,2024,2,13,1,0,1,1.25
Baked Goods,320,Birthday,400,Room Temperature,Regular,Winter,Buffet,Rural,High,30,2024-02-13 08:19:35.510204160,2024,2,13,1,0,1,1.25
Fruits,310,Corporate,450,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,25,2024-02-13 14:12:14.693877504,2024,2,13,1,0,1,1.4516129032258065
