quantity_sold,price_diff,leftover,restaurant_type,meal_type,menu_item_name,has_promotion,special_event,weather_condition
88,9.690000000000001,198.0004,1,2,8,0,0,1
59,4.300000000000001,227.0004,0,2,8,0,0,0
357,0.54,0.0,0,1,5,0,0,2
416,3.0,0.0,3,0,6,0,0,0
73,9.580000000000002,213.0004,3,2,7,0,0,2
385,0.2799999999999998,0.0,3,2,13,0,0,0
220,1.0699999999999994,66.00040000000001,4,1,1,0,0,0
259,2.450000000000001,27.000400000000013,3,0,9,0,0,0
0,11.65,286.0004,3,1,12,0,0,0
120,3.66,166.0004,0,1,1,0,0,2
524,-0.5299999999999998,0.0,3,1,10,1,1,0
92,15.93,194.0004,2,1,11,0,0,2
148,3.9200000000000017,138.0004,2,2,0,1,0,2
239,1.18,47.00040000000001,3,0,10,0,0,2
64,4.630000000000001,222.0004,3,1,1,0,0,2
263,4.68,23.000400000000013,3,2,7,0,0,0
673,0.10999999999999988,0.0,3,1,10,1,1,0
503,-0.7900000000000009,0.0,2,0,9,1,0,2
99,12.87,187.0004,3,1,12,0,0,0
181,10.28,105.00040000000001,3,1,12,0,0,2
119,6.35,167.0004,1,1,1,0,0,0
210,7.32,76.00040000000001,2,2,8,0,0,2
496,0.7999999999999998,0.0,1,2,13,0,0,1
192,1.4100000000000001,94.00040000000001,3,2,7,0,0,2
274,2.9400000000000004,12.000400000000013,1,1,1,0,0,1
232,6.85,54.00040000000001,1,0,6,0,0,1
0,14.91,286.0004,2,1,8,0,0,0
226,2.1300000000000003,60.00040000000001,0,2,5,0,0,2
435,0.26,0.0,3,0,10,0,0,0
53,10.09,233.0004,3,1,12,0,0,2
359,1.5700000000000003,0.0,0,1,1,0,1,2
619,3.0700000000000003,0.0,1,0,6,1,0,2
218,4.49,68.00040000000001,1,2,1,0,0,0
425,0.8600000000000003,0.0,0,2,1,1,0,2
346,2.84,0.0,3,2,9,0,0,2
0,15.280000000000001,286.0004,1,1,0,0,0,0
577,1.5799999999999996,0.0,1,1,13,0,0,2
259,2.2700000000000005,27.000400000000013,3,2,9,0,0,2
73,8.45,213.0004,2,1,8,0,0,0
231,2.7199999999999998,55.00040000000001,0,2,1,0,0,1
129,9.859999999999998,157.0004,3,1,12,0,0,2
506,0.6300000000000001,0.0,3,2,13,0,0,2
172,8.29,114.00040000000001,3,1,12,0,0,2
191,9.120000000000005,95.00040000000001,2,1,3,0,0,0
178,6.470000000000001,108.00040000000001,3,2,7,0,0,2
270,5.3199999999999985,16.000400000000013,3,2,7,0,0,2
207,13.759999999999998,79.00040000000001,1,2,2,0,0,2
141,1.5999999999999996,145.0004,2,0,5,0,0,0
477,-1.950000000000001,0.0,2,2,9,1,0,2
497,0.94,0.0,3,0,13,0,0,2
338,4.710000000000001,0.0,1,0,6,0,0,2
279,2.1500000000000004,7.000400000000013,3,2,1,0,0,2
192,1.8000000000000007,94.00040000000001,3,1,1,0,0,2
316,-0.04999999999999982,0.0,0,2,13,0,0,0
439,0.7400000000000002,0.0,0,2,13,0,0,2
59,10.81,227.0004,3,1,12,0,0,0
226,0.4700000000000002,60.00040000000001,0,1,13,0,0,0
373,0.20999999999999996,0.0,3,1,10,0,0,2
340,0.7000000000000002,0.0,0,0,5,0,0,0
535,2.09,0.0,1,1,13,0,0,2
153,13.169999999999995,133.0004,2,2,0,0,0,2
86,11.63,200.0004,1,2,8,0,0,2
726,0.5800000000000001,0.0,3,0,6,1,0,0
290,13.239999999999995,0.0,1,1,11,0,0,2
288,0.35999999999999943,0.0,1,1,1,1,0,1
0,15.479999999999999,286.0004,3,1,12,0,0,2
35,3.76,251.0004,3,2,1,0,0,1
229,3.75,57.00040000000001,0,0,6,0,0,1
42,10.44,244.0004,3,1,2,0,0,2
53,5.6800000000000015,233.0004,3,2,7,0,0,2
430,-1.25,0.0,0,0,6,0,0,2
309,1.3800000000000001,0.0,3,0,13,0,0,1
615,1.5699999999999998,0.0,1,2,13,0,0,2
280,2.8200000000000003,6.000400000000013,3,0,6,0,0,0
348,0.8600000000000001,0.0,3,1,10,0,0,2
6,11.84,280.0004,2,2,8,0,0,2
268,3.039999999999999,18.000400000000013,0,0,6,0,0,2
599,-0.3500000000000001,0.0,3,1,1,1,0,1
357,2.1500000000000004,0.0,3,1,12,1,0,2
144,3.8200000000000003,142.0004,1,1,1,0,0,0
407,0.48,0.0,3,1,10,0,0,2
395,2.1899999999999995,0.0,3,2,1,0,1,0
133,11.209999999999997,153.0004,3,1,12,0,0,2
407,-0.5199999999999996,0.0,2,0,9,0,0,1
176,1.8400000000000034,110.00040000000001,0,1,0,0,0,0
230,4.92,56.00040000000001,3,2,4,0,0,2
202,7.140000000000001,84.00040000000001,4,2,2,0,0,0
531,2.88,0.0,3,0,6,0,0,2
199,10.75,87.00040000000001,1,2,2,0,0,2
337,1.5,0.0,3,2,1,0,0,1
551,0.9300000000000002,0.0,3,1,13,0,0,2
526,-1.4600000000000009,0.0,0,0,6,0,0,2
610,0.76,0.0,3,0,10,0,0,2
68,3.09,218.0004,3,2,7,0,0,1
300,-0.05000000000000071,0.0,3,1,12,1,0,2
0,14.54,286.0004,2,2,0,0,0,2
421,6.540000000000001,0.0,2,2,9,0,0,0
100,15.169999999999998,186.0004,1,1,2,0,0,0
444,-0.8900000000000006,0.0,2,2,9,0,0,2
617,1.4399999999999995,0.0,2,0,5,0,0,2
25,8.799999999999999,261.0004,1,2,8,0,0,1
361,2.33,0.0,3,2,1,0,0,0
252,2.0299999999999994,34.00040000000001,3,1,2,1,0,1
165,10.140000000000002,121.00040000000001,3,1,2,0,0,0
283,8.630000000000003,3.0004000000000133,2,2,3,0,0,2
408,1.7300000000000004,0.0,2,2,9,0,0,2
601,0.5900000000000001,0.0,3,0,10,0,0,2
743,0.9499999999999997,0.0,3,0,13,0,0,0
638,0.8700000000000001,0.0,1,2,13,0,0,2
418,1.6799999999999997,0.0,3,0,6,0,0,1
500,3.320000000000001,0.0,3,0,6,0,0,2
301,1.8500000000000005,0.0,2,1,5,0,0,1
148,1.4000000000000004,138.0004,4,1,1,0,0,2
68,10.670000000000002,218.0004,1,1,8,0,0,0
472,0.8900000000000001,0.0,3,0,10,0,0,2
431,2.21,0.0,0,0,6,0,1,2
106,15.109999999999998,180.0004,2,2,8,0,0,0
468,-0.4399999999999995,0.0,0,0,9,0,0,2
265,0.7099999999999997,21.000400000000013,3,1,10,0,0,1
273,3.139999999999997,13.000400000000013,1,2,11,1,0,2
498,2.039999999999999,0.0,2,2,3,1,0,0
376,1.5100000000000002,0.0,0,1,13,0,0,1
142,3.7200000000000006,144.0004,3,2,7,0,0,0
85,1.4400000000000002,201.0004,3,1,10,0,0,1
288,2.16,0.0,3,1,1,0,0,2
240,0.9500000000000002,46.00040000000001,1,1,1,1,0,0
321,1.4700000000000002,0.0,1,1,13,0,0,0
481,2.3000000000000007,0.0,4,0,6,0,0,2
518,0.2599999999999998,0.0,1,0,6,1,0,2
207,-4.17,79.00040000000001,3,1,12,1,0,2
437,3.5999999999999996,0.0,1,0,6,0,0,2
0,11.27,286.0004,3,1,12,0,0,2
564,0.33000000000000007,0.0,3,0,10,0,0,0
0,10.709999999999999,286.0004,3,1,12,0,0,2
367,3.889999999999999,0.0,1,0,6,0,0,2
0,13.79,286.0004,3,1,12,0,0,2
390,3.2499999999999996,0.0,1,0,5,0,0,1
109,6.74,177.0004,3,2,9,0,0,2
60,15.75,226.0004,0,2,0,0,0,0
194,5.24,92.00040000000001,1,2,1,0,0,0
553,-1.3400000000000007,0.0,3,0,6,1,0,2
131,1.7800000000000002,155.0004,3,2,1,0,0,0
203,3.0300000000000002,83.00040000000001,3,1,1,0,0,2
198,8.98,88.00040000000001,1,1,8,0,0,1
18,3.83,268.0004,3,2,1,0,1,1
199,13.459999999999997,87.00040000000001,0,2,3,0,0,0
210,2.1999999999999997,76.00040000000001,3,2,1,0,0,2
449,1.4799999999999995,0.0,4,0,6,0,0,2
88,4.32,198.0004,3,2,1,0,0,1
0,13.790000000000001,286.0004,2,1,8,0,0,2
25,8.430000000000001,261.0004,3,2,2,0,0,1
73,4.84,213.0004,3,2,1,0,0,2
195,2.49,91.00040000000001,1,1,13,0,0,1
323,0.4500000000000002,0.0,2,2,5,0,0,2
168,2.99,118.00040000000001,1,2,5,0,0,0
256,2.38,30.000400000000013,3,0,6,0,0,0
358,0.5099999999999998,0.0,1,2,1,1,0,1
149,5.790000000000001,137.0004,2,0,9,0,0,1
347,2.6500000000000004,0.0,0,0,6,0,0,2
322,10.589999999999996,0.0,2,2,3,0,1,2
0,14.98,286.0004,3,1,12,0,0,0
193,0.9099999999999966,93.00040000000001,2,1,3,1,0,0
257,1.4800000000000004,29.000400000000013,3,2,2,0,0,2
135,9.920000000000002,151.0004,0,2,0,0,0,1
397,1.2300000000000004,0.0,3,0,6,0,0,2
179,4.41,107.00040000000001,3,2,7,0,0,2
189,7.140000000000002,97.00040000000001,3,2,7,0,0,0
530,1.6799999999999997,0.0,1,2,1,1,0,1
326,2.4899999999999993,0.0,3,0,6,0,0,2
0,5.649999999999999,286.0004,0,1,8,0,1,2
248,11.049999999999997,38.00040000000001,1,1,3,0,0,0
0,12.990000000000002,286.0004,3,1,12,0,0,0
564,0.8899999999999997,0.0,1,0,13,0,0,2
353,1.2099999999999997,0.0,3,1,10,0,0,0
18,12.06,268.0004,1,2,4,0,0,2
667,0.22999999999999954,0.0,3,0,6,1,0,0
174,3.9799999999999995,112.00040000000001,2,1,5,0,0,2
461,-0.08000000000000007,0.0,3,0,13,0,0,0
140,1.7799999999999994,146.0004,0,1,8,1,0,1
478,0.41999999999999993,0.0,0,2,13,0,0,0
3,6.16,283.0004,4,2,2,0,0,0
311,0.7,0.0,3,0,10,0,0,2
22,7.59,264.0004,3,1,4,0,0,2
315,2.03,0.0,1,1,5,0,0,2
398,1.13,0.0,3,1,13,0,0,2
475,0.52,0.0,0,0,13,0,0,2
312,0.98,0.0,3,1,13,0,0,0
701,0.010000000000000009,0.0,3,1,10,1,0,2
285,1.6900000000000004,1.0004000000000133,3,0,9,0,0,2
144,1.2,142.0004,3,1,10,0,0,0
688,0.8599999999999999,0.0,1,0,13,0,0,2
149,11.11,137.0004,2,2,0,0,0,2
214,2.709999999999999,72.00040000000001,0,2,9,0,0,2
154,13.329999999999998,132.0004,2,2,11,0,0,2
144,10.57,142.0004,1,2,4,0,0,1
668,0.2799999999999998,0.0,0,0,13,0,0,0
178,11.100000000000001,108.00040000000001,3,1,12,0,0,1
251,2.3899999999999997,35.00040000000001,3,1,1,0,0,2
166,1.0599999999999996,120.00040000000001,0,2,1,0,0,1
44,-0.8299999999999983,242.0004,2,2,8,1,0,1
630,0.41999999999999993,0.0,3,0,13,0,0,2
4,5.559999999999999,282.0004,3,2,7,0,0,2
349,2.1099999999999994,0.0,2,2,9,0,0,0
447,-0.33000000000000007,0.0,3,2,9,1,0,2
279,0.1900000000000004,7.000400000000013,4,2,1,1,0,0
398,1.7200000000000002,0.0,1,2,5,0,0,2
414,-2.620000000000001,0.0,3,2,7,1,0,0
354,0.5299999999999998,0.0,0,1,13,0,0,0
0,14.52,286.0004,1,2,4,0,0,2
378,3.08,0.0,3,2,4,0,0,2
211,8.119999999999997,75.00040000000001,3,1,0,0,0,2
229,2.79,57.00040000000001,3,2,1,0,0,2
192,3.289999999999999,94.00040000000001,3,1,4,0,0,0
65,15.229999999999997,221.0004,0,1,3,0,0,1
73,6.690000000000001,213.0004,3,2,7,0,0,0
130,5.359999999999999,156.0004,1,2,1,0,0,0
593,0.8200000000000003,0.0,3,0,13,0,0,2
380,-0.5600000000000005,0.0,3,2,9,1,0,1
110,5.690000000000001,176.0004,3,1,4,0,0,2
0,5.350000000000001,286.0004,2,2,8,0,0,2
387,-0.08000000000000007,0.0,3,2,7,1,0,2
218,2.6400000000000006,68.00040000000001,3,2,1,0,0,0
125,5.98,161.0004,3,2,2,0,0,2
544,2.76,0.0,1,0,6,0,0,2
502,3.37,0.0,0,2,9,0,0,2
631,0.5,0.0,0,0,6,0,0,1
468,0.8599999999999999,0.0,3,0,10,0,0,0
195,3.2799999999999994,91.00040000000001,0,2,8,0,0,2
170,5.849999999999998,116.00040000000001,0,1,3,0,0,0
655,0.6399999999999999,0.0,3,1,13,0,0,2
236,4.34,50.00040000000001,3,1,12,0,0,2
298,1.4500000000000002,0.0,3,2,1,0,0,2
426,3.889999999999999,0.0,1,0,6,0,0,0
269,8.899999999999999,17.000400000000013,3,1,0,0,0,2
470,0.40000000000000013,0.0,3,1,10,0,0,0
480,0.6799999999999999,0.0,3,0,10,0,0,1
240,2.62,46.00040000000001,3,1,1,0,0,2
479,1.1400000000000006,0.0,3,2,4,1,0,2
273,1.129999999999999,13.000400000000013,1,1,11,1,0,0
100,15.750000000000002,186.0004,2,2,8,0,0,0
567,-0.23999999999999932,0.0,0,2,1,1,0,2
456,4.470000000000001,0.0,3,0,6,0,0,1
565,-0.9699999999999998,0.0,3,2,1,1,0,2
229,1.9699999999999998,57.00040000000001,3,2,1,0,0,2
675,0.71,0.0,3,1,13,0,0,2
740,2.0999999999999996,0.0,4,0,6,0,1,0
149,10.42,137.0004,3,1,12,0,0,2
731,0.18000000000000016,0.0,1,2,5,1,0,2
465,0.5599999999999996,0.0,0,1,13,0,0,1
0,10.329999999999998,286.0004,1,1,8,0,0,0
79,10.670000000000002,207.0004,3,2,0,0,0,1
444,1.5,0.0,1,1,5,0,0,2
292,1.46,0.0,2,1,5,0,0,2
239,8.05,47.00040000000001,1,1,4,0,0,2
432,2.620000000000001,0.0,4,0,6,0,0,1
322,2.47,0.0,1,1,5,0,0,2
0,6.860000000000001,286.0004,0,1,8,0,0,2
349,-1.9800000000000004,0.0,1,1,4,1,0,2
648,1.3500000000000005,0.0,1,0,13,0,0,1
176,2.16,110.00040000000001,3,2,1,0,0,0
494,1.6600000000000001,0.0,1,1,1,1,0,2
550,5.890000000000002,0.0,2,2,9,0,0,0
662,0.56,0.0,0,1,13,0,0,2
190,15.560000000000002,96.00040000000001,2,1,11,0,0,0
578,1.950000000000001,0.0,3,0,6,0,0,0
596,2.4400000000000004,0.0,3,0,6,0,0,2
108,13.340000000000002,178.0004,1,1,8,0,1,1
294,2.1500000000000004,0.0,3,2,7,0,0,0
207,16.499999999999996,79.00040000000001,1,1,3,0,1,2
447,2.1400000000000006,0.0,2,0,5,0,0,1
362,3.6899999999999995,0.0,3,1,2,0,0,0
570,1.75,0.0,3,0,9,0,0,0
681,3.84,0.0,3,0,6,0,0,2
633,1.8399999999999999,0.0,2,0,5,0,1,0
287,1.540000000000001,0.0,2,2,9,0,0,2
353,0.4299999999999997,0.0,4,2,4,0,0,0
331,0.7999999999999998,0.0,2,1,5,0,0,0
340,1.2000000000000006,0.0,1,1,5,0,0,0
299,3.3999999999999995,0.0,1,1,1,0,0,2
350,1.4000000000000004,0.0,3,1,1,0,0,2
178,8.61,108.00040000000001,3,1,12,0,0,2
600,0.6399999999999999,0.0,3,0,10,0,0,2
454,2.7299999999999995,0.0,2,2,5,0,0,0
326,4.720000000000002,0.0,1,2,11,0,0,2
448,2.1799999999999997,0.0,0,0,6,0,0,0
181,13.030000000000001,105.00040000000001,3,1,0,0,0,2
508,-0.25,0.0,0,2,13,0,0,2
159,1.37,127.00040000000001,3,1,10,0,0,2
187,5.32,99.00040000000001,3,1,12,0,0,1
185,0.7800000000000002,101.00040000000001,0,1,13,0,0,0
181,4.38,105.00040000000001,3,0,6,0,0,1
0,15.580000000000002,286.0004,3,1,12,0,0,1
369,2.549999999999999,0.0,1,0,6,0,0,2
377,0.6199999999999997,0.0,0,1,13,0,0,2
209,-2.6900000000000013,77.00040000000001,0,1,3,1,0,1
719,-1.6600000000000001,0.0,3,0,6,1,0,0
179,4.209999999999999,107.00040000000001,3,2,2,0,0,2
178,14.66,108.00040000000001,3,1,0,0,0,0
181,12.26,105.00040000000001,3,1,12,0,0,1
324,2.8000000000000007,0.0,1,2,4,1,0,1
44,7.68,242.0004,0,1,11,0,0,0
576,0.5,0.0,3,0,10,0,0,2
279,1.2699999999999998,7.000400000000013,3,0,10,0,0,1
0,4.1899999999999995,286.0004,0,2,8,0,0,2
405,1.37,0.0,1,2,13,0,0,2
189,14.240000000000002,97.00040000000001,1,1,0,0,0,0
191,6.990000000000002,95.00040000000001,1,2,4,0,0,0
350,0.52,0.0,3,0,10,0,0,0
461,0.7400000000000002,0.0,0,1,13,0,0,0
218,6.43,68.00040000000001,1,1,1,0,0,2
438,1.33,0.0,1,0,13,0,0,1
100,8.780000000000001,186.0004,3,1,2,0,0,2
491,1.3200000000000003,0.0,0,2,13,0,0,2
286,0.8999999999999999,0.0004000000000132786,3,1,13,0,0,2
135,1.7299999999999995,151.0004,4,1,1,0,0,0
404,2.1099999999999994,0.0,2,0,9,0,0,1
91,2.8100000000000005,195.0004,3,1,1,0,0,0
137,5.17,149.0004,4,2,4,0,0,2
274,1.2800000000000002,12.000400000000013,1,1,13,0,0,2
0,11.25,286.0004,2,2,8,0,0,1
171,10.799999999999999,115.00040000000001,2,2,8,0,0,2
351,7.960000000000001,0.0,1,1,4,0,0,2
191,3.0,95.00040000000001,2,1,11,1,1,0
190,3.960000000000001,96.00040000000001,3,0,9,0,0,2
202,6.15,84.00040000000001,3,2,4,0,0,2
107,10.380000000000003,179.0004,3,2,0,0,0,2
509,0.3100000000000005,0.0,1,2,9,1,0,2
161,0.16999999999999993,125.00040000000001,2,0,9,0,0,2
252,2.6100000000000003,34.00040000000001,3,1,1,0,0,2
372,0.9099999999999999,0.0,3,0,10,0,0,2
0,4.699999999999999,286.0004,3,2,2,0,0,1
0,7.299999999999997,286.0004,3,1,12,0,0,0
224,1.1500000000000004,62.00040000000001,3,1,10,0,0,2
287,2.3599999999999994,0.0,1,1,1,0,0,0
239,-0.10999999999999943,47.00040000000001,0,1,8,1,0,2
645,-1.5899999999999999,0.0,2,0,9,1,0,2
0,14.210000000000004,286.0004,3,2,0,0,0,0
121,2.6399999999999997,165.0004,2,2,5,0,0,2
652,-2.88,0.0,0,0,9,1,0,2
280,1.27,6.000400000000013,1,1,13,0,0,2
233,5.259999999999999,53.00040000000001,1,1,1,0,0,0
252,4.9,34.00040000000001,1,1,1,0,0,0
136,15.759999999999998,150.0004,1,2,0,0,0,2
78,14.530000000000008,208.0004,2,1,0,0,0,2
126,1.24,160.0004,3,1,10,0,0,2
100,9.200000000000001,186.0004,3,1,12,0,0,1
170,5.379999999999999,116.00040000000001,1,2,0,1,0,0
396,-1.4399999999999995,0.0,3,2,7,1,0,0
202,13.549999999999997,84.00040000000001,0,1,11,0,0,0
122,11.15,164.0004,1,0,6,0,0,2
384,6.039999999999999,0.0,1,0,6,0,0,2
81,9.19,205.0004,3,1,12,1,0,2
263,3.74,23.000400000000013,3,0,9,0,0,2
356,2.5,0.0,1,0,6,0,0,0
278,2.5200000000000014,8.000400000000013,2,1,8,1,0,2
160,13.150000000000002,126.00040000000001,0,2,11,0,0,0
436,2.1600000000000006,0.0,1,0,13,0,0,1
362,0.7699999999999996,0.0,3,0,6,0,0,2
122,4.9,164.0004,3,2,1,0,0,2
214,0.16000000000000014,72.00040000000001,2,0,5,0,0,0
565,0.9100000000000006,0.0,0,1,5,1,1,0
191,3.700000000000001,95.00040000000001,2,2,5,0,0,0
47,11.07,239.0004,0,2,3,0,0,0
134,7.250000000000002,152.0004,3,2,7,0,0,0
419,2.4699999999999998,0.0,3,0,9,0,0,2
111,6.08,175.0004,3,1,4,0,0,1
77,12.839999999999996,209.0004,0,2,3,0,0,2
212,11.860000000000003,74.00040000000001,0,2,11,0,0,1
103,13.020000000000001,183.0004,3,1,2,0,0,0
650,-0.7599999999999998,0.0,3,2,9,1,0,1
164,7.93,122.00040000000001,1,2,8,0,0,2
535,0.8199999999999998,0.0,4,2,13,0,0,2
431,0.43000000000000016,0.0,3,0,10,0,0,0
161,8.56,125.00040000000001,3,2,2,0,0,2
324,1.5700000000000003,0.0,3,0,6,0,0,2
336,2.369999999999999,0.0,2,0,5,0,0,1
251,2.370000000000001,35.00040000000001,1,0,6,0,0,0
216,2.3800000000000003,70.00040000000001,0,2,5,0,0,0
438,-0.040000000000000036,0.0,3,1,10,1,0,2
99,11.440000000000005,187.0004,0,1,11,0,0,0
96,5.279999999999999,190.0004,2,2,8,1,0,0
193,3.3699999999999997,93.00040000000001,1,0,5,0,0,2
21,2.8099999999999996,265.0004,0,2,5,0,0,2
321,0.5,0.0,3,1,13,0,0,2
205,13.260000000000002,81.00040000000001,1,2,3,1,0,1
438,0.5200000000000005,0.0,4,0,6,0,0,0
66,8.3,220.0004,1,2,2,0,0,2
511,-0.9299999999999997,0.0,0,2,5,1,0,2
107,7.1,179.0004,1,2,1,0,0,2
298,1.3600000000000003,0.0,1,2,13,0,0,0
259,7.77,27.000400000000013,1,1,11,1,0,1
243,6.809999999999999,43.00040000000001,2,1,8,0,0,2
407,0.4900000000000002,0.0,3,1,10,0,0,2
575,0.5800000000000001,0.0,3,0,6,0,0,0
24,8.91,262.0004,1,1,8,0,0,2
678,1.0300000000000002,0.0,3,2,13,0,0,0
716,-0.6099999999999994,0.0,3,0,6,1,0,0
352,2.630000000000001,0.0,3,2,7,0,0,1
723,0.20999999999999974,0.0,3,0,10,0,0,2
396,6.67,0.0,3,1,2,0,0,0
50,13.54,236.0004,3,1,12,0,0,2
251,7.780000000000001,35.00040000000001,0,2,11,0,0,0
674,1.1999999999999993,0.0,2,0,9,0,1,0
374,1.8900000000000006,0.0,3,1,12,1,0,1
344,2.4800000000000004,0.0,1,2,11,1,0,0
635,-1.67,0.0,0,1,1,1,0,1
451,2.5,0.0,3,0,6,0,0,1
283,7.530000000000001,3.0004000000000133,2,2,11,0,0,2
253,11.91,33.00040000000001,1,2,3,0,0,0
416,0.28,0.0,3,1,10,0,0,2
312,1.5599999999999987,0.0,1,1,8,1,0,0
308,2.09,0.0,3,2,7,0,0,2
210,3.5500000000000007,76.00040000000001,3,2,4,0,0,2
691,0.5499999999999998,0.0,1,2,9,1,0,0
326,1.8599999999999999,0.0,3,2,1,0,0,0
0,10.61,286.0004,3,1,12,0,0,2
391,-1.129999999999999,0.0,2,2,9,0,0,2
524,0.6699999999999999,0.0,2,0,5,0,0,0
506,0.6100000000000001,0.0,3,0,10,0,0,2
279,15.46,7.000400000000013,2,1,3,0,0,2
248,7.859999999999999,38.00040000000001,1,1,4,0,0,2
272,4.22,14.000400000000013,1,2,1,0,0,2
409,-0.010000000000000675,0.0,3,1,1,1,0,2
378,6.92,0.0,4,1,4,0,0,0
377,1.3000000000000003,0.0,1,2,13,0,0,0
0,7.8799999999999955,286.0004,0,2,11,0,0,0
272,7.200000000000001,14.000400000000013,3,1,12,0,0,2
268,3.09,18.000400000000013,2,2,9,0,0,2
155,4.990000000000002,131.0004,2,2,0,0,0,2
0,5.98,286.0004,0,2,8,0,0,2
607,-0.1800000000000006,0.0,4,2,1,1,1,2
127,15.150000000000002,159.0004,3,1,12,0,0,2
325,0.1999999999999993,0.0,3,1,0,1,0,2
349,2.789999999999999,0.0,3,2,0,1,0,0
92,11.46,194.0004,3,1,12,0,0,0
0,13.84,286.0004,0,1,3,0,0,2
150,9.780000000000001,136.0004,1,1,11,1,0,2
594,1.5999999999999996,0.0,1,0,9,1,0,2
0,6.219999999999999,286.0004,0,2,8,0,0,0
371,5.609999999999999,0.0,1,0,6,0,0,0
389,6.57,0.0,1,0,6,0,0,2
284,2.490000000000002,2.0004000000000133,3,1,12,1,0,1
45,14.01,241.0004,1,2,2,0,0,0
410,6.27,0.0,1,0,6,0,0,1
118,3.049999999999999,168.0004,2,1,5,0,0,2
0,7.51,286.0004,3,2,2,0,0,2
139,9.11,147.0004,0,1,11,0,0,0
350,8.190000000000001,0.0,1,2,3,1,0,1
566,-0.8700000000000001,0.0,3,0,9,1,0,2
260,2.4799999999999995,26.000400000000013,3,1,1,0,0,0
270,1.21,16.000400000000013,3,2,13,0,0,2
176,8.129999999999995,110.00040000000001,2,1,3,1,0,2
255,0.7599999999999998,31.000400000000013,3,1,13,0,0,1
460,0.06000000000000005,0.0,3,0,10,0,1,2
256,3.0500000000000007,30.000400000000013,1,1,1,0,0,0
62,1.3600000000000012,224.0004,0,2,8,0,0,2
240,15.839999999999996,46.00040000000001,1,2,3,0,0,2
423,1.5,0.0,4,0,6,0,0,0
187,3.7799999999999994,99.00040000000001,3,0,9,0,0,2
160,-0.6699999999999982,126.00040000000001,3,1,12,1,0,2
240,7.299999999999999,46.00040000000001,3,2,4,0,0,2
30,15.230000000000002,256.0004,3,1,12,0,0,0
132,9.72,154.0004,1,1,4,0,0,0
473,0.3700000000000001,0.0,3,0,10,0,0,0
17,6.31,269.0004,1,2,1,0,0,0
677,0.6999999999999997,0.0,1,2,13,0,1,2
82,8.119999999999997,204.0004,0,2,3,0,0,1
426,0.580000000000001,0.0,3,0,6,0,0,2
336,-1.7800000000000011,0.0,3,1,12,1,0,2
115,11.72,171.0004,2,2,8,0,0,2
318,0.9899999999999998,0.0,3,1,13,0,0,2
154,2.47,132.0004,1,1,5,0,0,2
133,4.129999999999999,153.0004,3,0,9,0,0,2
347,0.7999999999999998,0.0,3,0,6,0,0,2
101,3.48,185.0004,3,2,1,0,0,2
397,2.9699999999999998,0.0,3,0,6,0,0,2
141,1.12,145.0004,3,1,1,0,0,0
269,1.7599999999999998,17.000400000000013,2,0,9,0,0,0
43,11.809999999999999,243.0004,3,1,12,0,0,2
86,2.7300000000000004,200.0004,3,2,7,0,0,2
